month-year,net sales/income from operations,other operating income,total income from operations,consumption of raw materials,purchase of traded goods,increase/decrease in stocks,power fuel,employees cost,depreciation,excise duty,admin. and selling expenses,r d expenses,provisions and contingencies,exp. capitalised,other expenses,p/l before other inc. int.excpt. items tax,other income,p/l before int.excpt. items tax,interest,p/l before exceptional items tax,exceptional items,p/l before tax,tax,p/l after tax from ordinary activities,prior year adjustments,extra ordinary items,net profit/(loss) for the period,equity share capital,reserves excluding revaluation reserves,equity dividend rate (%),basic eps,diluted eps,basic eps.,diluted eps.,no of shares (crores),share holding (%),- number of shares (crores),- per. of shares (as a % of the total sh. of prom. and promoter group),- per. of shares (as a % of the total share cap. of the company),- number of shares (crores).,- per. of shares (as a % of the total sh. of prom. and promoter group).,- per. of shares (as a % of the total share cap. of the company).,stock_name
Dec '20,"13,784.54",--,"13,784.54","1,673.09",696.89,142.41,--,839.07,635.30,--,--,--,--,--,"8,080.93","1,716.85",203.98,"1,920.83",57.04,"1,863.79",-176.01,"1,687.78",272.84,"1,414.94",--,--,"1,414.94",187.99,"12,473.45",140.00,75.35,75.17,75.35,75.17,--,--,--,--,--,--,--,--,ACC
Dec '19,"15,343.11",313.54,"15,656.65","2,258.10",361.69,100.81,"3,131.34",863.97,602.97,--,--,--,--,--,"6,531.29","1,806.48",311.21,"2,117.69",86.22,"2,031.47",--,"2,031.47",672.56,"1,358.91",--,--,"1,358.91",187.99,"11,333.29",140.00,72.36,72.19,72.36,72.19,--,--,--,--,--,--,--,--,ACC
Dec '18,"14,477.47",323.88,"14,801.35","2,370.23",89.26,-124.98,"2,998.12",881.06,599.64,--,--,--,--,--,"6,543.03","1,444.99",138.50,"1,583.49",89.20,"1,494.29",--,"1,494.29",-12.34,"1,506.63",--,--,"1,506.63",187.99,"10,339.67",140.00,80.23,80.04,80.23,80.04,--,--,--,--,--,--,--,--,ACC
Dec '17,"12,930.95",353.65,"13,284.60","1,982.52",0.84,-14.90,"2,714.45",818.95,640.12,--,--,--,--,--,"5,873.61","1,269.01",131.65,"1,400.66",102.30,"1,298.36",--,"1,298.36",382.91,915.45,--,--,915.45,187.99,"9,177.47",260.00,48.75,48.63,48.75,48.63,--,--,--,--,--,--,--,--,ACC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC
Mar '21,"13,358.73",--,"13,358.73",--,"10,125.04",434.03,--,312.17,121.51,--,--,--,--,--,"1,483.86",882.12,391.92,"1,274.04",505.93,768.11,-212.85,555.26,186.45,368.81,--,--,368.81,109.98,"4,018.01",100.00,3.35,3.35,3.35,3.35,--,--,--,--,--,--,--,--,ADANI ENTERPRIS
Mar '20,"16,208.69",--,"16,208.69",--,"12,303.72",376.27,--,275.87,120.97,--,--,--,--,--,"2,506.97",624.89,410.33,"1,035.22",381.01,654.21,315.34,969.55,270.66,698.89,--,--,698.89,109.98,"3,651.02",100.00,6.35,6.35,6.35,6.35,--,--,--,--,--,--,--,--,ADANI ENTERPRIS
Mar '19,"15,541.30",--,"15,541.30",--,"13,230.36",-605.27,--,239.36,101.19,--,--,--,--,--,"1,728.87",846.79,382.30,"1,229.09",581.07,648.02,-20.82,627.20,142.29,484.91,--,2.33,487.24,109.98,"3,138.84",40.00,4.43,4.43,4.43,4.43,--,--,--,--,--,--,--,--,ADANI ENTERPRIS
Mar '18,"9,550.21",--,"9,550.21",--,"8,508.36",-730.06,--,235.34,87.41,--,--,--,--,--,910.08,539.08,616.21,"1,155.29",666.35,488.94,-181.05,307.89,96.91,210.98,--,-13.95,197.03,109.98,"3,798.42",40.00,1.79,1.79,1.79,1.79,--,--,--,--,--,--,--,--,ADANI ENTERPRIS
Mar '17,"8,595.01",--,"8,595.01",--,"6,792.79",-62.16,--,247.07,78.86,--,--,--,--,--,"1,047.96",490.49,687.17,"1,177.66",791.71,385.95,--,385.95,164.31,221.64,--,--,221.64,109.98,"3,657.20",40.00,2.02,2.02,2.02,2.02,--,--,--,--,--,--,--,--,ADANI ENTERPRIS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADANI ENTERPRIS
Mar '21,"4,377.15",--,"4,377.15",--,--,--,--,235.01,619.18,--,--,--,--,--,552.78,"2,970.18","2,266.31","5,236.49","2,326.85","2,909.64",--,"2,909.64",981.71,"1,927.93",--,--,"1,927.93",406.35,"21,228.40",250.00,9.49,9.49,9.49,9.49,--,--,--,--,--,--,--,--,ADANI PORTS
Mar '20,"4,643.28",--,"4,643.28",--,--,--,--,224.61,553.29,--,--,--,--,--,"2,984.74",880.64,"2,902.97","3,783.61","1,751.88","2,031.73",--,"2,031.73",97.48,"1,934.25",--,--,"1,934.25",406.35,"19,292.29",160.00,9.43,9.43,9.43,9.43,--,--,--,--,--,--,--,--,ADANI PORTS
Mar '19,"5,336.38",--,"5,336.38",--,--,--,--,230.89,474.21,--,--,--,--,--,"1,766.80","2,864.48","2,342.90","5,207.38","1,421.84","3,785.54",-121.90,"3,663.64","1,025.92","2,637.72",--,--,"2,637.72",414.19,"19,911.60",10.00,12.74,12.74,12.74,12.74,--,--,--,--,--,--,--,--,ADANI PORTS
Mar '18,"6,533.82",--,"6,533.82",--,--,--,--,193.78,470.52,--,--,--,--,--,"1,893.40","3,976.12","1,607.32","5,583.44","1,456.88","4,126.56",-297.38,"3,829.18","1,421.08","2,408.10",--,--,"2,408.10",414.19,"17,703.19",100.00,11.63,11.63,11.63,11.63,--,--,--,--,--,--,--,--,ADANI PORTS
Mar '17,"4,878.86",--,"4,878.86",--,--,--,--,210.99,540.71,--,--,--,--,--,920.49,"3,206.67","1,284.67","4,491.34","1,198.40","3,292.94",--,"3,292.94",192.33,"3,100.61",--,--,"3,100.61",414.19,"16,284.78",65.00,14.97,14.97,14.97,14.97,--,--,--,--,--,--,--,--,ADANI PORTS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADANI PORTS
Mar '21,447.17,--,447.17,--,351.45,--,0.86,32.88,32.46,--,--,--,--,--,22.88,6.64,134.37,141.01,644.02,-503.01,--,-503.01,-4.27,-498.74,--,--,-498.74,"3,856.94","4,213.41",--,-3.75,-3.75,-3.75,-3.75,--,--,--,--,--,--,--,--,ADANI POWER
Mar '20,"1,005.32",--,"1,005.32",--,908.10,--,1.12,41.61,34.77,--,--,--,--,--,92.90,-73.18,910.84,837.66,"1,175.23",-337.57,"-1,002.99","-1,340.56",--,"-1,340.56",--,--,"-1,340.56","3,856.94","3,318.44",--,-5.77,-5.77,-5.77,-5.77,--,--,--,--,--,--,--,--,ADANI POWER
Mar '19,"2,404.20",--,"2,404.20",--,"2,217.59",70.34,1.12,40.52,38.06,--,--,--,--,--,88.43,-51.86,"1,065.67","1,013.81","1,239.04",-225.23,--,-225.23,--,-225.23,--,--,-225.23,"3,856.94","5,270.89",--,-1.24,-1.24,-1.24,-1.24,--,--,--,--,--,--,--,--,ADANI POWER
Mar '18,"8,249.26",--,"8,249.26",--,"1,283.66",--,"4,963.26",123.35,860.67,--,--,--,--,--,875.66,142.66,334.79,477.45,"2,008.07","-1,530.62","1,506.85",-23.77,--,-23.77,--,--,-23.77,"3,856.94","5,682.19",--,-0.06,-0.06,-0.06,-0.06,--,--,--,--,--,--,--,--,ADANI POWER
Mar '17,"11,017.97",--,"11,017.97",--,"1,266.26",--,"7,190.72",181.66,"1,120.72",--,--,--,--,--,"1,121.90",136.71,735.22,871.93,"3,101.56","-2,229.63","-3,907.94","-6,137.57",-83.23,"-6,054.34",--,--,"-6,054.34","3,856.94",816.38,--,-17.48,-17.48,-17.48,-17.48,--,--,--,--,--,--,--,--,ADANI POWER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADANI POWER
